1156,מגדל לתגמולים ולפיצויים ביג כללי לפחות 30% מניות
1157,מגדל השתלמות ביג כללי לפחות 30% מניות
1161,מקפת דמי מחלה
1162,ילין לפידות קרן השתלמות מסלול כללי
1182,קרן השתלמות של עובדי האוניברסיטה העברית
1183,פסגות שיא השתלמות ישראל
1190,"אקסלנס השתלמות אג""ח עד 25% מניות"
1192,לאומי קופה מרכזית לפיצויים
1198,"אי.בי.אי לתגמולים ופיצויים אג""ח ללא מניות"
1201,אי.בי.אי תגמולים ופיצויים מניות
1202,"אי.בי.אי השתלמות אג""ח ללא מניות"
1203,"אי.בי.אי קרן השתלמות מסלול אג""ח עד 10% מניות"
1204,אי.בי.אי השתלמות כללי
1205,אי.בי.אי השתלמות מניות
1206,אי.בי.אי מרכזית לפיצויים מסלול כללי
1209,"אינפיניטי גמל אג""ח ממשלת ישראל"
1210,"אינפיניטי השתלמותאג""ח ממשלת ישראל"
1211,אינפיניטי פיצויים סל מניות
1219,פסגות קמה
1223,פסגות פיצויים בטא
1225,"פסגות פיצויים אג""ח"
1233,"הלמן-אלדובי מסלול אג""ח"
1240,"מיטב דש השתלמות אג""ח ללא מניות"
1256,מנורה השתלמות-מניות
1257,"רום רביד אג""ח ללא מניות"
1258,רום ספיר מניות
1262,מינהל - השתלמות - מניות
1276,מיטב דש פיצויים סלע
1280,מנורה מבטחים משתתפת בפנסיה תקציבית
1282,"מרכזית לפנסיה תקציבית של עובדי עיריית ת""א"
1284,כלל תקציבית
1290,אלטשולר שחם השתלמות כללי ב'
1294,מור מסלול מניות
1296,הראל קופה לפנסיה תקציבית
1304,מקפת תקציבית
1309,"פסגות עתיד גמל מרכזית אג""ח"
1316,"רעות - אג""ח ללא מניות"
1317,רעות מניות
1318,הנדסאים וטכנאים - מסלול מניות
1319,"ילין לפידות קרן השתלמות מסלול אג""ח"
1330,פסגות גדיש מניות
1331,פסגות גדיש אגח עד 10% מניות
1332,"פסגות גדיש אג""ח"
1333,פסגות גדיש כספי
1334,הראל גמל שקלי טווח קצר
1335,"הראל גמל מסלול אג""ח ללא מניות"
1343,מנורה מבטחים תגמולים שקלי טווח קצר
1344,"מנורה מבטחים תגמולים אג""ח ממשלת ישראל"
1348,"כלל השתלמות אג""ח צמוד מדד"
1350,כלל השתלמות מניות
1351,כלל השתלמות שקלי טווח קצר
1353,מיטב דש השתלמות מעל 6 שנות וותק
1354,"הפניקס השתלמות - מסלול אג""ח"
1355,"הפניקס תגמולים ופיצויים - מסלול אג""ח"
1359,מנורה מבטחים משתתפת בפנסיה תקציבית ללא מניות
1360,"ילין לפידות קופת גמל מסלול אג""ח ממשלת ישראל"
1361,"ילין לפידות קרן השתלמות מסלול אג""ח ממשלת ישראל"
1364,מנורה מבטחים תגמולים מסלול מניות
1367,"הלמן-אלדובי השתלמות אג""ח עד 15% במניות"
1368,הראל גמל מסלול שקלי
1369,הראל השתלמות מסלול שקלי
1370,מיטב דש השתלמות שקלי טווח קצר
1372,מיטב דש פיצויים  - טווח קצר
1374,מנורה מרכזית לפיצויים ללא מניות
1375,אלטשולר שחם גמל מניות
1376,"אלטשולר שחם גמל אג""ח ללא מניות"
1377,אלטשולר שחם השתלמות מניות
1378,"אלטשולר שחם השתלמות אג""ח ללא מניות"
1384,"הנדסאים וטכנאים מסלול אג""ח"
1385,"מינהל - השתלמות - אג""ח"
1386,"מיטב דש גמל אג""ח ממשלת ישראל"
1387,"מיטב דש השתלמות אג""ח ממשלת ישראל"
1394,אלטשולר שחם גמל כספי
1395,"אלטשולר שחם גמל אג""ח ממשלות"
1398,אלטשולר שחם השתלמות כספי
1399,"אלטשולר שחם השתלמות  אג""ח ממשלות"
1404,"עובדי המדינה - אג""ח ממשלת ישראל"
1405,"עיריית ת""א תגמולים מסלול אג""ח."
1408,"מנורה השתלמות-אג""ח ממשלת ישראל"
1409,"מנורה מבטחים השתלמות-מניות חו""ל"
1410,"קרן החיסכון לצבא הקבע מסלול אג""ח ללא מניות"
1411,קרן החיסכון לצבא הקבע מניות
1412,"אנליסט גמל אג""ח ממשלת ישראל"
1413,אנליסט קופה מרכזית לפיצויים מסלול  ממשלתי
1416,"אי.בי.אי מרכזית לפיצויים מסלול אג""ח"
1417,"אלטשולר שחם פיצויים מסלול אג""ח"
1424,פסגות שיא השתלמות אגח עד 10% מניות
1429,"פסגות שיא השתלמות אג""ח ממשלת ישראל"
1430,רעות שיקלי
1431,"פסגות גדיש אג""ח ממשלת ישראל"
1433,"ק.ל.ע מסלול אג""ח עד 25% מניות"
1434,"קופת גמל עמ""י מסלול ללא מניות"
1438,"עוצ""מ - מסלול אג""ח ממשלות"
1441,"מחר גמל אג""ח ממשלת ישראל"
1442,"אי.בי.אי תגמולים ופיצויים פאסיבי - מדדי אג""ח ממשלת ישראל"
1443,"אי.בי.אי השתלמות פאסיבי - מדדי אג""ח ממשלת ישראל"
1445,"אומגה קרן השתלמות מסלול אג""ח"
1446,אומגה קרן השתלמות מסלול מניות
1451,"קרן השתלמות לאקדמאים במדעי החברה והרוח מסלול אג""ח"
1452,קרן השתלמות לאקדמאים במדעי החברה והרוח מסלול מניות
1454,השתלמות משפטנים מנייתי
1455,השתלמות משפטנים ללא מניות
1456,אחים ואחיות - מסלול ללא מניות
1471,"פ.ר.ח - אג""ח ללא מניות"
1472,"השתלמות רופאים אג""ח ממשלת ישראל"
1476,"אל על - אג""ח"
1477,עיריית תל אביב תגמולים מסלול מניות
1482,הפניקס תגמולים ופיצויים- שיטת הפניקס
